id,tsne_x,tsne_y,cluster
2-15381,-19.36008217796316,-0.24191488030840683,4
2-7732,-8.42864459344737,7.879585626290522,2
2-3404,7.6790260020508825,-0.8072257158909041,2
2-4619,2.728070067564368,11.917409514084023,2
2-26729,-1.5285766630118267,-8.184846293632758,2
2-488,-4.652483041335626,-1.8635757357041955,1
2-4590,4.100798361696144,13.849683683506719,2
2-4702,3.0823877934543624,-0.981558252182053,3
2-39399,-10.603375409647278,-14.558258545199095,2
2-3456,-5.178931005758148,-3.5848631122085663,2
2-457,-6.794252526480539,6.3713093562247085,4
2-3640,-12.771719847255534,5.786449741593264,2
2-22964,-4.221479609696331,-9.50882367672881,1
2-6952,-10.540490433563205,-9.142733775709518,2
2-17868,-19.336775835023442,0.04910040687970652,4
2-3385,6.194732513680746,14.752952802675248,1
2-285,16.606290557010244,9.699960646026822,2
2-3383,6.951740166939364,0.30348970918828766,2
2-3637,3.6448796463998376,11.926743184791361,2
2-3601,-1.2385918425843558,-1.1862981676253515,2
2-38613,-2.9315747665965413,7.893249290414299,2
2-19783,-15.98960871060665,-10.531308152752375,2
2-9832,-2.195782408682573,-5.89287513171354,2
2-3506,14.619665743434044,9.507650373752739,3
2-15468,2.7789610488625014,-12.789386519754737,4
2-10177,-3.1061169390423533,7.983615016951676,2
2-3471,4.711674097946598,-20.73331082245474,3
2-2444,12.120087289351124,4.153755813868665,3
2-13059,0.08432628655576406,-1.3328098799053214,2
2-35049,12.636264555281898,-9.592511144056134,2
2-20181,-5.385183537271228,5.105056572663285,2
2-7385,-18.780664350275394,-5.941855495606328,2
2-3389,7.395509438790226,0.49797744264972854,2
2-2464,13.793177054850434,11.350601164788323,2
2-4747,9.0409378420288,-12.174275640715027,2
2-38589,6.093958936139799,9.370519752837922,3
2-1315,8.309210714455991,4.6213398041795255,3
2-6799,-9.696671200722278,-11.761499669248359,2
2-14863,-1.9641574936952266,1.6083424421104544,4
2-19915,2.179001434181985,-2.0862434460915544,2
2-39456,0.11999478405188059,-5.821463742395829,2
2-19952,7.241114907914537,8.920780040462965,2
2-10251,0.36788680563519555,-4.339614245390262,2
2-8828,13.093314994956788,-12.318850076526553,2
2-2111,8.762492128744336,-11.256758796293582,2
2-10053,3.2889707649489504,-6.194403455264617,2
2-3590,5.031272812244132,-4.491727661872548,3
2-10334,2.5153747837555307,-0.8619328647030371,2
2-3435,10.341093200002899,-8.600946750254314,2
2-15624,-2.111892482457057,1.0220605154918048,4
2-18911,-9.239159853600523,-0.9140146153220902,2
2-36706,9.299078287588472,-2.8585384169462755e-4,2
2-3573,2.1712441136195157,6.3521447388653245,2
2-3459,2.1671581587588924,1.1761235866894693,3
2-4841,4.861498363802548,7.23964817888897,2
2-27430,-0.12363254806429973,4.857926601292281,4
2-2562,1.6291158158895165,-2.834669867046429,2
2-19804,-19.030068351116043,0.34623825101543326,4
2-24958,-6.53552582168467,-9.438066968136843,1
2-25901,6.8723198886683345,-2.1739357483557704,2
2-3647,12.822104971919302,1.3494578006396174,2
2-2109,-12.37069476492844,8.608517364215995,2
2-8874,11.380229964066327,-12.373313619279728,2
2-4664,-12.279884929231637,-7.433633464029161,2
2-3633,-10.120281381711715,-6.757331914869785,2
2-19929,1.735255797022056,-9.567943730556113,2
2-20372,-5.722583265602082,7.451359027438623,2
2-8555,0.6551650505548424,-1.0728636264961076,2
2-3364,-4.9799397355946455,11.35343757995077,2
2-13500,-0.21354812034068463,-3.2387644882577424,2
2-151,9.312219506438277,4.898059540572746,3
2-22968,-8.124329984275803,-5.129129606744962,3
2-29077,8.844100888337717,-8.585869600763646,2
